,x,Include?,Merges?
983,interval,T,0
984,intervention,T,0
985,interview,T,0
986,intrinsic,T,0
987,introduce,T,0
988,introduced,T,introduce
989,introduces,T,introduce
990,introduction,F,0
991,intuition,T,0
992,invariant,T,0
993,inverse,T,0
994,investigate,F,0
995,investigated,F,0
996,investigating,F,0
997,investigation,F,0
998,involve,T,0
999,involved,T,involve
1000,involvement,T,involve
1001,involves,T,involve
1002,involving,T,involve
1003,irregular,T,0
1004,irrelevant,T,0
1005,isolated,T,isolation
1006,isolation,T,0
1007,issue,T,0
1008,item,T,0
1009,james,T,0
1010,joint,T,0
1011,journal,T,0
1012,judgment,T,0
1013,justice,T,0
1014,kind,T,0
1015,know,T,knowledge
1016,knowing,T,knowledge
1017,knowledge,T,0
1018,known,T,knowledge
1019,label,T,0
1020,laboratory,T,0
1021,lack,T,0
1022,language,T,0
1023,large,T,0
1024,largecale,T,0
1025,larger,T,large
1026,last,T,0
1027,latency,T,latent
1028,latent,T,0
1029,lateral,T,0
1030,latter,T,0
1031,layer,T,0
1032,lead,T,0
1033,leading,T,lead
1034,learn,T,0
1035,learned,T,learn
1036,learner,T,learn
1037,learning,T,learn
1038,learns,T,learn
1039,least,T,0
1040,lebiere,T,0
1041,left,T,0
1042,length,T,0
1043,lens,T,0
1044,lesion,T,0
1045,letter,T,0
1046,level,T,0
1047,lexical,T,0
1048,lexicon,T,0
1049,life,T,0
1050,light,T,0
1051,likely,T,0
1052,limit,T,0
1053,limitation,T,limit
1054,limited,T,limit
1055,line,T,0
1056,linear,T,0
1057,linguistic,T,0
1058,linguistics,T,linguistic
1059,link,T,0
1060,linkage,T,link
1061,linked,T,link
1062,linking,T,link
1063,list,T,0
1064,literature,T,0
1065,little,T,0
1066,lived,T,0
1067,living,T,0
1068,load,T,0
1069,lobe,T,0
1070,local,T,0
1071,localization,T,local
1072,location,T,0
1073,logical,T,0
1074,long,T,0
1075,longer,T,0
1076,longitudinal,T,0
1077,longterm,T,0
1078,look,T,0
1079,looking,T,look
1080,loop,T,0
1081,loss,T,0
1082,lower,T,0
1083,lowfrequency,T,0
1084,lowlevel,T,0
1085,machine,T,0
1086,made,T,0
1087,magnetic,T,0
1088,magnitude,T,0
1089,main,T,0
1090,mainstream,T,0
1091,maintain,T,0
1092,maintenance,T,maintain
1093,major,T,0
1094,majority,T,0
1095,make,T,0
1096,making,T,make
1097,manage,T,0
1098,manifestation,T,0
1099,manipulated,T,manipulation
1100,manipulation,T,0
1101,manner,T,0
1102,manual,T,0
1103,many,T,0
1104,mapping,T,0
1105,mark,T,0
1106,match,T,0
1107,matched,T,match
1108,matching,T,match
1109,material,T,0
1110,mathematical,T,0
1111,matter,T,0
1112,maturana,T,0
1113,mcclelland,T,0
1114,mean,T,0
1115,meaning,T,0
1116,meaningful,T,meaning
1117,meant,T,0
1118,measure,T,0
1119,measured,T,measurement
1120,measurement,T,0
1121,mechanism,T,0
1122,mechanistic,T,mechanism
1123,medial,T,0
1124,mediated,T,0
1125,medical,T,0
1126,medium,T,0
1127,member,T,0
1128,memory,T,0
1129,mental,T,0
1130,mere,T,0
1131,merit,T,0
1132,metaphor,T,0
1133,method,T,methodology
1134,methodological,T,0
1135,methodology,T,methodology
1136,middle,T,0
1137,mind,T,0
1138,minimal,T,0
1139,minimize,T,minimal
1140,minimum,T,minimal
1141,minor,T,0
1142,mirror,T,0
1143,missing,T,0
1144,mixed,T,0
1145,mixture,T,0
1146,mobile,T,0
1147,modality,T,0
1148,mode,T,0
1149,model,T,0
1150,modeled,T,model
1151,modeling,T,model
1152,modelling,T,model
1153,modern,T,0
1154,modification,T,modify
1155,modified,T,modify
1156,modify,T,0
1157,modular,T,module
1158,modularity,T,module
1159,modulate,T,0
1160,modulated,T,modulate
1161,modulating,T,modulate
1162,modulation,T,modulate
1163,module,T,0
1164,monitoring,T,0
1165,monkey,T,0
1166,monte,T,0
1167,month,T,0
1168,moral,T,0
1169,more,T,0
1170,moreover,F,0
1171,morphological,T,morphology
1172,morphology,T,0
1173,most,T,0
1174,motion,T,0
1175,motivated,T,motivation
1176,motivation,T,0
1177,motor,T,0
1178,move,T,movement
1179,movement,T,0
1180,moving,T,movement
1181,much,T,0
1182,multidimensional,T,0
1183,multimodal,T,0
1184,multiple,T,0
1185,multitasking,T,0
1186,muscle,T,0
1187,music,T,0
1188,musical,T,music
1189,mutual,T,0
1190,name,T,0
1191,naming,T,name
1192,natural,T,nature
1193,naturalistic,T,nature
1194,nature,T,0
1195,navigation,T,0
1196,necessary,T,0
1197,need,T,0
1198,needed,T,need
1199,negative,T,0
1200,neglect,T,0
1201,nervous,T,0
1202,network,T,0
1203,neural,T,0
1204,neurobiological,T,0
1205,neuroimaging,T,0
1206,neuron,T,0
1207,neuronal,T,neuron
1208,neurophysiological,T,0
1209,neuropsychological,T,neuropsychology
1210,neuropsychology,T,0
1211,neuroscience,T,0
1212,neuroscientific,T,neuroscience
1213,neuroscientist,T,neuroscience
1214,next.,F,0
1215,niche,T,0
1216,node,T,0
1217,noise,T,0
1218,noisy,T,noise
1219,nonhuman,T,0
1220,nonlinear,T,0
1221,nonword,T,0
1222,nonwords,T,nonword
1223,norm,T,0
1224,normal,T,0
1225,normative,T,0
1226,note,T,0
1227,notion,T,0
1228,novel,T,0
1229,null,T,0
1230,number,T,0
1231,numerical,T,number
1232,numerous,T,0
1233,nurse,T,0
1234,object,T,0
1235,objection,T,0
1236,objective,T,0
1237,observation,T,observe
1238,observe,T,0
1239,observed,T,observe
1240,observer,T,observe
1241,observing,T,observe
1242,obstacle,T,0
1243,obtained,T,0
1244,occur,T,0
1245,occurring,T,occur
1246,occurs,T,occur
1247,ocial,T,0
1248,offer,T,0
1249,offered,T,offer
1250,ongoing,T,0
1251,online,T,0
1252,onset,T,0
1253,ontogenetic,T,0
1254,ontological,T,ontology
1255,ontology,T,0
1256,open,T,0
1257,operate,T,0
1258,operates,T,operate
1259,operating,T,operate
1260,operation,T,operate
1261,operational,T,operate
1262,operator,T,0
1263,opportunity,T,0
1264,opposite,T,0
1265,optimal,T,0
1266,optimality,T,optimal
1267,order,T,0
1268,organism,T,0
1269,organization,T,0
1270,organizational,T,organization
1271,organized,T,organization
1272,orientation,T,0
1273,oriented,T,orientation
1274,orienting,T,orientation
1275,origin,T,0
1276,original,T,0
1277,orthographic,T,0
1278,oscillation,T,0
1279,other,T,0
1280,others,T,other
1281,outcome,T,0
1282,outline,T,0
1283,outlined,T,outline
1284,output,T,0
1285,overall,T,0
1286,overcome,T,0
1287,overlap,T,0
1288,overlapping,T,overlap
1289,overview,T,0
1290,pair,T,0
1291,paper,F,0
1292,paradigm,T,0
1293,paradigmatic,T,paradigm
1294,paradox,T,0
1295,parallel,T,0
1296,parameter,T,0
1297,parietal,T,0
1298,part,T,0
1299,partial,T,0
1300,participant,T,0
1301,participate,T,0
1302,participation,T,participate
1303,participatory,T,0
1304,particular,T,0
1305,passive,T,0
1306,past,T,0
1307,path,T,0
1308,pathway,T,0
1309,patient,T,0
1310,pattern,T,0
1311,pedagogy,T,0
1312,people,T,0
1313,perceive,T,perception
1314,perceived,T,perception
1315,perceiver,T,perception
1316,perceiving,T,perception
1317,perception,T,0
1318,perceptionaction,T,0
1319,perceptual,T,perception
1320,perceptualmotor,T,0
1321,perfect,T,0
1322,perform,T,0
1323,performance,T,perform
1324,performed,T,perform
1325,performer,T,perform
1326,performing,T,perform
1327,performs,T,perform
1328,period,T,0
1329,peripheral,T,0
1330,permit,T,0
1331,person,T,0
1332,personality,T,0
1333,perspective,T,0
1334,phase,T,0
1335,phenomenal,T,0
1336,phenomenological,T,phenomenology
1337,phenomenology,T,0
1338,phenomenon,T,0
1339,philosopher,T,philosophy
1340,philosophical,T,philosophy
1341,philosophy,T,0
1342,phonological,T,phonology
1343,phonology,T,0
1344,phrase,T,0
1345,physic,T,0
1346,physical,T,0
1347,physician,T,0
1348,physiological,T,0
1349,piaget,T,0
1350,picture,T,0
1351,place,T,0
1352,placed,T,place
1353,plan,T,0
1354,planning,T,0
1355,plasticity,T,0
1356,plausibility,T,plausible
1357,plausible,T,0
1358,plaut,T,0
1359,play,T,0
1360,playing,T,play
1361,point,T,0
1362,poor,T,0
1363,popular,T,0
1364,population,T,0
1365,posed,T,0
1366,posit,T,0
1367,position,T,0
1368,positive,T,0
1369,posse,T,0
1370,possibility,T,possible
1371,possible,T,0
1372,posterior,T,0
1373,postulate,T,0
1374,posture,T,0
1375,potential,T,0
1376,power,T,0
1377,powerful,T,power
1378,practical,T,0
1379,practice,T,0
1380,practitioner,T,0
1381,pragmatic,T,0
1382,preceded,T,0
1383,precise,T,0
1384,precision,T,0
1385,predict,T,prediction
1386,predicted,T,prediction
1387,predicting,T,prediction
1388,prediction,T,0
1389,predictive,T,prediction
1390,predicts,T,prediction
1391,prefrontal,T,0
1392,premise,T,0
1393,premotor,T,0
1394,presence,T,0
1395,present,T,0
1396,presentation,T,present
1397,presented,T,present
1398,presenting,T,present
1399,press,T,0
1400,pressure,T,0
1401,previous,T,0
1402,primary,T,0
1403,primate,T,0
1404,prime,T,0
1405,priming,T,0
1406,principle,T,0
1407,prior,T,0
1408,priori,T,0
1409,probabilistic,T,0
1410,probability,T,0
1411,probe,T,0
1412,problem,T,0
1413,problematic,T,0
1414,problemolving,T,0
1415,procedural,T,0
1416,procedure,T,0
1417,process,T,0
1418,processed,T,process
1419,processing,T,0
1420,produce,T,0
1421,produced,T,produce
1422,producing,T,produce
1423,product,T,0
1424,production,T,product
1425,profile,T,0
1426,program,T,0
1427,progress,T,0
1428,progressive,T,0
1429,project,T,0
1430,projection,T,0
1431,prominent,T,0
1432,promise,T,0
1433,promising,T,promise
1434,pronunciation,T,0
1435,proper,T,0
1436,property,T,0
1437,proportion,T,0
1438,proposal,T,propose
1439,propose,T,0
1440,proposed,T,propose
1441,proposes,T,propose
1442,proposition,T,0
1443,prospect,T,0
1444,prospective,T,prospect
1445,provide,T,0
1446,provided,T,provide
1447,provides,T,provide
1448,providing,T,provide
1449,psycholinguistics,T,0
1450,psychological,T,psychology
1451,psychologist,T,psychology
1452,psychology,T,0
1453,published,F,0
1454,purpose,T,0
1455,qualitative,T,0
1456,quality,T,0
1457,quantitative,T,0
1458,question,T,0
1459,radical,T,0
1460,raise,T,0
1461,raised,T,raise
1462,random,T,0
1463,range,T,0
1464,ranging,T,0
1465,rapid,T,0
1466,rare,T,0
1467,rate,T,0
1468,rating,T,rate
1469,rational,T,0
1470,rationality,T,rational
1471,reach,T,0
1472,reached,T,reach
1473,reaching,T,reach
1474,reaction,T,0
1475,read,T,0
1476,reader,T,read
1477,reading,T,read
1478,real,T,0
1479,realistic,T,0
1480,reality,T,0
1481,realization,T,realize
1482,realize,T,0
1483,realized,T,realize
1484,realtime,T,0
1485,realworld,T,0
1486,reason,T,0
1487,reasonable,T,reason
1488,reasoning,T,reason
1489,recall,T,0
1490,received,T,0
1491,recent,T,0
1492,reciprocal,T,0
1493,recognition,T,recognize
1494,recognize,T,0
1495,reconcile,T,0
1496,record,T,0
1497,recorded,T,record
1498,recording,T,record
1499,recovery,T,0
1500,recurrent,T,0
1501,reduce,T,0
1502,reduced,T,reduce
1503,reducing,T,reduce
1504,reduction,T,reduce
1505,refer,T,0
1506,reference,T,refer
1507,referred,T,refer
1508,refers,T,refer
1509,refinement,T,0
1510,reflect,T,0
1511,reflected,T,reflect
1512,reflective,T,reflect
1513,reflects,T,reflect
1514,regard,T,0
1515,regarded,T,regard
1516,regarding,T,regard
1517,regardless,F,0
1518,region,T,0
1519,regression,T,0
1520,regular,T,0
1521,regularity,T,regular
1522,regulate,T,0
1523,regulation,T,regulate
1524,reinforcement,T,0
1525,reject,T,0
1526,rejected,T,reject
1527,rejection,T,reject
1528,relate,T,0
1529,related,T,relate
1530,relates,T,relate
1531,relating,T,relate
1532,relation,T,0
1533,relational,T,relation
1534,relationship,T,relation
1535,relative,T,0
1536,relevance,T,0
1537,relevant,T,relevance
1538,reliable,T,0
1539,reliance,T,rely
1540,relies,T,rely
1541,rely,T,0
1542,remain,T,0
1543,remaining,T,remain
1544,remains,T,remain
1545,remedy,T,0
1546,repeated,T,0
1547,repertoire,T,0
1548,repetition,T,0
1549,replicated,T,0
1550,report,T,0
1551,reported,T,report
1552,represent,T,0
1553,representation,T,represent
1554,representational,T,represent
1555,representative,T,represent
1556,represented,T,represent
1557,representing,T,represent
1558,represents,T,represent
1559,require,T,0
1560,required,T,require
1561,requirement,T,require
1562,requires,T,require
1563,requiring,T,require
1564,research,T,0
1565,researcher,T,research
1566,reserved,T,0
1567,resolution,T,0
1568,resonance,T,0
1569,resource,T,0
1570,respect,T,0
1571,respective,T,0
1572,respond,T,response
1573,responded,T,response
1574,responding,T,response
1575,response,T,0
1576,responsible,T,0
1577,rest,T,0
1578,result,T,0
1579,resulting,T,result
1580,retrieval,T,0
1581,retrieving,T,retrieval
1582,reveal,T,0
1583,revealed,T,reveal
1584,revealing,T,reveal
1585,reveals,T,reveal
1586,review,T,0
1587,reviewed,T,review
1588,reward,T,0
1589,rhythm,T,0
1590,rhythmic,T,rhythm
1591,rich,T,0
1592,right,T,0
1593,rigorous,T,0
1594,rise,T,0
1595,risk,T,0
1596,robot,T,0
1597,robotic,T,robot
1598,robotics,T,robot
1599,robust,T,0
1600,role,T,0
1601,room,T,0
1602,root,T,0
1603,rooted,T,root
1604,route,T,0
1605,routine,T,0
1606,rule,T,0
1607,rulebased,T,0
1608,rulegoverned,T,0
1609,rumelhart,T,0
1610,safety,T,0
1611,same,T,0
1612,sample,T,0
1613,sampling,T,sample
1614,satisfy,T,0
1615,scale,T,0
1616,scaling,T,scale
1617,scene,T,0
1618,schema,T,scheme
1619,scheme,T,0
1620,school,T,0
1621,science,T,0
1622,scientific,T,science
1623,scientist,T,science
1624,scope,T,0
1625,score,T,0
1626,search,T,0
1627,second,T,0
1628,secondary,T,0
1629,section,F,0
1630,seek,T,0
1631,seeking,T,seek
1632,seem,T,0
1633,seems,T,seem
1634,seen,T,0
1635,seidenberg,T,0
1636,select,T,0
1637,selected,T,select
1638,selecting,T,select
1639,selection,T,select
1640,selective,T,select
1641,self,T,0
1642,selforganization,T,0
1643,selforganizing,T,selforganization
1644,semantic,T,0
1645,semantics,T,semantic
1646,sens,T,0
1647,sensation,T,0
1648,sense,T,0
1649,sensemaking,T,0
1650,sensitive,T,0
1651,sensitivity,T,sensitive
1652,sensorimotor,T,0
1653,sensory,T,0
1654,sentence,T,0
1655,separate,T,0
1656,sequence,T,0
1657,sequential,T,sequence
1658,serf,T,0
1659,serial,T,0
1660,series,T,0
1661,serious,T,0
1662,serve,T,0
1663,service,T,0
1664,session,T,0
1665,setting,T,0
1666,several,T,0
1667,shape,T,0
1668,shaped,T,shape
1669,share,T,0
1670,shared,T,share
1671,sharing,T,share
1672,shed,T,0
1673,shift,T,0
1674,shifting,T,shift
1675,short,T,0
1676,shortcoming,T,0
1677,shortterm,T,0
1678,show,T,0
1679,showed,T,show
1680,showing,T,show
1681,shown,T,show
1682,side,T,0
1683,sign,T,0
1684,signal,T,0
1685,significance,T,0
1686,significant,T,significance
1687,similar,T,0
1688,similarity,T,similar
1689,simple,T,0
1690,simpler,T,simple
1691,simplified,T,simple
1692,simulate,T,simulation
1693,simulated,T,simulation
1694,simulates,T,simulation
1695,simulating,T,simulation
1696,simulation,T,simulation
1697,single,T,0
1698,site,T,0
1699,situated,T,situation
1700,situation,T,0
1701,situational,T,situation
1702,size,T,0
1703,sketch,T,0
1704,skill,T,0
1705,skilled,T,skill
1706,skillful,T,skill
1707,small,T,0
1708,soar,T,0
1709,socalled,T,0
1710,social,T,0
1711,sociality,T,social
1712,society,T,0
1713,sociocultural,T,0
1714,soft,T,0
1715,solution,T,0
1716,solve,T,0
1717,solved,T,solve
1718,solving,T,solve
1719,something,T,0
1720,sophisticated,T,0
1721,sound,T,0
1722,source,T,0
1723,space,T,0
1724,span,T,0
1725,spatial,T,0
1726,speak,T,0
1727,speaker,T,speak
1728,special,T,0
1729,specialized,T,special
1730,specie,T,0
1731,specific,T,0
1732,specification,T,specific
1733,specificity,T,specific
1734,specified,T,specify
1735,specify,T,0
1736,specifying,T,specify
1737,spectrum,T,0
1738,speech,T,0
1739,speed,T,0
1740,spontaneous,T,0
1741,sport,T,0
1742,stability,T,0
1743,stabilize,T,stability
1744,stable,T,0
1745,stage,T,0
1746,stance,T,0
1747,standard,T,0
1748,start,T,0
1749,starting,T,start
1750,state,T,0
1751,static,T,0
1752,statistic,T,0
1753,statistical,T,statistic
1754,status,T,0
1755,stem,T,0
1756,step,T,0
1757,stimulation,T,0
1758,stimulus,T,0
1759,stochastic,T,0
1760,stop,T,0
1761,store,T,0
1762,stored,T,store
1763,story,T,0
1764,strategy,T,0
1765,stream,T,0
1766,strength,T,0
1767,stress,T,0
1768,string,T,0
1769,strong,T,0
1770,stroop,T,0
1771,structural,T,structure
1772,structure,T,0
1773,structured,T,structure
1774,student,T,0
1775,studied,T,study
1776,study,T,0
1777,studying,T,study
1778,subject,T,0
1779,subjective,T,0
1780,suboptimal,T,0
1781,subsequent,T,0
1782,subserve,T,0
1783,substantial,T,0
1784,substrate,T,0
1785,subsymbolic,T,0
1786,subtle,T,0
1787,success,T,0
1788,successful,T,success
1789,such,T,0
1790,sufficient,T,0
1791,suggest,T,0
1792,suggested,T,suggest
1793,suggesting,T,suggest
1794,suggestion,T,suggest
1795,suggests,T,suggest
1796,suitable,T,0
1797,summary,T,0
1798,superior,T,0
1799,support,T,0
1800,supported,T,support
1801,supporting,T,support
1802,surface,T,0
1803,surrounding,T,0
1804,survey,T,0
1805,sustained,T,0
1806,switching,T,0
1807,symbol,F,0
1808,symbolic,F,0
1809,symptom,T,0
1810,synaptic,T,0
1811,synchronization,T,0
1812,synergy,T,0
1813,syntactic,T,syntax
1814,syntax,T,0
1815,synthesis,T,0
1816,system,T,0
1817,systematic,T,system
1818,systemic,T,0
1819,take,T,0
1820,taken,T,take
1821,taking,T,take
1822,talk,T,0
1823,target,T,0
1824,task,T,0
1825,taxonomy,T,0
1826,teacher,T,0
1827,teaching,T,0
1828,team,T,0
1829,teamwork,T,team
1830,technical,T,0
1831,technique,T,0
1832,technological,T,technology
1833,technology,T,0
1834,temporal,T,0
1835,tendency,T,0
1836,tense,T,0
1837,term,T,0
1838,termed,T,term
1839,test,T,0
1840,tested,T,test
1841,testing,T,test
1842,text,T,0
1843,theme,T,0
1844,theoretical,T,theory
1845,theorist,T,theory
1846,theorizing,T,theory
1847,theory,T,0
1848,therefore,F,0
1849,thesis,T,0
1850,thing,T,0
1851,think,T,0
1852,thinking,T,think
1853,third,T,0
1854,thought,T,think
1855,thoughtrational,T,0
1856,tied,T,0
1857,time,T,0
1858,timing,T,0
1859,took,T,0
1860,tool,T,0
1861,topdown,T,0
1862,topic,T,0
1863,total,T,0
1864,touch,T,0
1865,towards,T,0
1866,tower,T,0
1867,trace,T,0
1868,tracking,T,0
1869,tradeoff,T,0
1870,tradition,T,0
1871,traditional,T,tradition
1872,trained,T,training
1873,training,T,0
1874,trait,T,0
1875,trajectory,T,0
1876,transfer,T,0
1877,transform,T,0
1878,transformation,T,transform
1879,transient,T,0
1880,transition,T,0
1881,transmission,T,0
1882,treat,T,0
1883,treatment,T,0
1884,trend,T,0
1885,trial,T,0
1886,TRUE,F,0
1887,trying,T,0
1888,turn,T,0
1889,type,T,0
1890,typical,T,0
1891,ubiquitous,T,0
1892,unable,T,0
1893,uncertainty,T,0
1894,unclear,T,0
1895,unconscious,T,0
1896,uncover,T,0
1897,underlie,T,0
1898,underlying,T,underlie
1899,underpin,T,0
1900,underpinnings,T,underpin
1901,understand,T,0
1902,understanding,T,understand
1903,understood,T,understand
1904,unfolding,T,0
1905,unification,T,0
1906,unified,T,unification
1907,unifying,T,unification
1908,unique,T,0
1909,unit,T,0
1910,unitary,T,unit
1911,universal,T,0
1912,university,T,0
1913,update,T,0
1914,updating,T,update
1915,used,T,0
1916,useful,T,0
1917,usefulness,T,useful
1918,user,T,0
1919,using,T,0
1920,usual,T,0
1921,utility,T,0
1922,utterance,T,0
1923,valid,T,0
1924,validity,T,valid
1925,valuable,T,value
1926,value,T,0
1927,varela,T,0
1928,variability,T,variable
1929,variable,T,0
1930,variance,T,0
1931,variant,T,0
1932,variation,T,0
1933,varied,T,vary
1934,variety,T,0
1935,various,T,0
1936,vary,T,0
1937,varying,T,vary
1938,vector,T,0
1939,vehicle,T,0
1940,ventral,T,0
1941,verb,T,0
1942,verbal,T,0
1943,version,T,0
1944,versus,T,0
1945,viable,T,0
1946,video,T,0
1947,view,T,0
1948,viewed,T,view
1949,viewpoint,T,0
1950,virtual,T,0
1951,vision,T,0
1952,visual,T,0
1953,vocabulary,T,0
1954,volume,T,0
1955,walk,T,0
1956,wave,T,0
1957,weak,T,0
1958,weakness,T,weak
1959,weight,T,0
1960,were,F,0
1961,whereas,F,0
1962,whole,T,0
1963,wide,T,0
1964,wider,T,wide
1965,widespread,T,0
1966,word,T,0
1967,work,T,0
1968,working,T,work
1969,world,T,0
1970,writing,T,0
1971,year,T,0
1972,yield,T,0
1973,yielded,T,yield
1974,young,T,0
